priority,track,company,decision_maker_name,decision_maker_title,market_focus,why_fit,outreach_channel,source_url,source_type,confidence,status,next_step
A,AI,Anthropic,Irina Ghose,"Managing Director, Anthropic India",India/APAC,New country leader likely shaping enterprise and ecosystem partnerships in APAC growth phase.,LinkedIn + AI policy/events outreach,https://timesofindia.indiatimes.com/education/news/who-is-irina-ghose-the-iit-bhu-graduate-and-former-microsoft-md-now-leading-anthropic-india/articleshow/128111240.cms,Reputable media,Medium,Not contacted,Use India+APAC education/enterprise angle
A,AI,Google Cloud,Karan Bajwa,"Vice President, Asia Pacific",APAC,Owns APAC go-to-market direction; strong fit for regional AI ecosystem sponsorship.,LinkedIn + Google Cloud partner channel,https://www.channelasia.tech/article/2086096/rahul-sharma-leads-google-clouds-apac-public-sector-business.html,Industry publication quoting executive,Medium,Not contacted,Target through APAC partner marketing leadership
A,AI,Microsoft,Miki Tsusaka,"President, Microsoft Japan",Japan,Likely decision influence for Japan-facing enterprise AI co-marketing and innovation programs.,LinkedIn + Japan enterprise partner network,https://news.microsoft.com/source/asia/2023/02/01/microsoft-appoints-miki-tsusaka-as-new-president-of-microsoft-japan/,Official company news,High,Not contacted,Prepare Japan-specific sponsorship one-pager
A,AI,Microsoft,Rodrigo Kede Lima,"President, Microsoft Asia",Asia,Regional executive owner for Microsoft AI transformation and strategic partner ecosystem in Asia.,LinkedIn + Microsoft partner intro + enterprise events,https://news.microsoft.com/apac/2024/09/05/microsoft-appoints-rodrigo-kede-lima-as-new-president-for-asia/,Official company news,High,Not contacted,Map mutual connections in SG/JP enterprise circles
A,AI,OpenAI,Raghav Gupta,"Head of Education Initiatives, India and APAC",India/APAC,Education-led AI adoption role aligns with cohort sponsorship and talent funnel positioning.,LinkedIn + education ecosystem intro,https://economictimes.indiatimes.com/tech/technology/openai-appoints-former-coursera-executive-raghav-gupta-as-education-vertical-head/articleshow/123502319.cms,Reputable media,Medium,Not contacted,Lead with cohort outcomes and institutional access
A,L1,LayerZero,Alex Lim,"APAC BD, Head of Gaming",APAC,"Direct BD owner for Asia growth and gaming/IP initiatives, strong fit for cohort partnerships.",LinkedIn + stablecoin/gaming partner network,https://blockchainleaders.world/speaker/,Conference speaker profile,Medium,Not contacted,Lead with gaming and cross-chain user growth metrics
A,L1,Polygon Foundation,Sandeep Nailwal,"CEO, Polygon Foundation",Global/APAC,Top decision-maker for strategic ecosystem sponsorship and flagship partnerships.,Executive intro via Polygon ecosystem,https://economictimes.indiatimes.com/tech/technology/polygon-cofounder-sandeep-nailwal-takes-over-as-ceo-amid-restructuring/articleshow/121784317.cms,Reputable media,Medium,Not contacted,Use institutional and consumer chain adoption case
A,L1,Solana Company,Joseph Chee,Executive Chairman,APAC,Executive influence across Solana APAC initiatives and regional strategic relationships.,Direct outreach + shared investors/operators,https://solana.com/accelerate,Official event page,Medium,Not contacted,Pair with institutional APAC adoption deck
A,L1,Solana Foundation,Lily Liu,"President, Solana Foundation",Global/APAC,Top-level decision-maker for strategic ecosystem and institutional partnerships.,Direct executive outreach + warm introduction,https://solana.com/ru/accelerate,Official event page,Medium,Not contacted,Reserve for high-leverage anchor partnership ask
A,L1,Solana Foundation,Lu Yin,"APAC Lead, Solana Foundation",APAC,Direct APAC ecosystem owner and high-fit decision-maker for regional sponsorship activations.,LinkedIn + Solana ecosystem intro,https://gftnforum.jp/speakers-2025/spkr9727-lu-yin,Conference speaker profile,Medium,Not contacted,Use APAC builder + policy + payments narrative
A,L1,Wormhole,Rachit Agarwal,APAC Lead,APAC,"Regional interoperability lead; high relevance for cross-chain, enterprise, and ecosystem sponsorship.",LinkedIn + Wormhole community intro,https://solanasummit.org/en/speakers,Conference speaker profile,Medium,Not contacted,Propose cross-chain builder track sponsorship
A,XR,PICO XR,Allen An,"Regional Director, PICO XR APAC",APAC,Named APAC regional leader for XR hardware market expansion and ecosystem growth.,LinkedIn + XR distributor partner intro,https://prebiu.com/2024/09/05/pico-launches-the-pico-4-ultra-an-all-in-one-mr-headset-offering-a-new-level-of-immersive-experience/,Launch coverage quoting executive,Medium,Not contacted,Lead with APAC demo footprint + event co-branding
