priority,track,company,decision_maker_name,decision_maker_title,market_focus,why_fit,outreach_channel,source_url,source_type,confidence,status,next_step
A,AI,Microsoft,"Rodrigo Kede Lima","President, Microsoft Asia",Asia,"Regional executive owner for Microsoft AI transformation and strategic partner ecosystem in Asia.","LinkedIn + Microsoft partner intro + enterprise events",https://news.microsoft.com/apac/2024/09/05/microsoft-appoints-rodrigo-kede-lima-as-new-president-for-asia/,Official company news,High,Not contacted,"Map mutual connections in SG/JP enterprise circles"
A,AI,Microsoft,"Miki Tsusaka","President, Microsoft Japan",Japan,"Likely decision influence for Japan-facing enterprise AI co-marketing and innovation programs.","LinkedIn + Japan enterprise partner network",https://news.microsoft.com/source/asia/2023/02/01/microsoft-appoints-miki-tsusaka-as-new-president-of-microsoft-japan/,Official company news,High,Not contacted,"Prepare Japan-specific sponsorship one-pager"
A,AI,Google Cloud,"Karan Bajwa","Vice President, Asia Pacific",APAC,"Owns APAC go-to-market direction; strong fit for regional AI ecosystem sponsorship.","LinkedIn + Google Cloud partner channel",https://www.channelasia.tech/article/2086096/rahul-sharma-leads-google-clouds-apac-public-sector-business.html,Industry publication quoting executive,Medium,Not contacted,"Target through APAC partner marketing leadership"
B,AI,Google Cloud,"Rahul Sharma","Managing Director, APAC Public Sector",APAC,"Public-sector and ecosystem partnerships can support credibility-building sponsorship activations.","LinkedIn + policy/ecosystem event networking",https://www.channelasia.tech/article/2086096/rahul-sharma-leads-google-clouds-apac-public-sector-business.html,Industry publication,Medium,Not contacted,"Frame as workforce and AI literacy partnership"
B,AI,Google Cloud,"Mark Micallef","Managing Director, Southeast Asia",SEA,"SEA business owner with remit to drive market growth and enterprise relevance.","LinkedIn + regional cloud events",https://www.businesstoday.com.my/2023/06/19/google-cloud-appoints-mark-micallef-as-md-for-sea/,Industry publication,Medium,Not contacted,"Pitch SEA talent pipeline + developer community activation"
A,AI,Anthropic,"Irina Ghose","Managing Director, Anthropic India",India/APAC,"New country leader likely shaping enterprise and ecosystem partnerships in APAC growth phase.","LinkedIn + AI policy/events outreach",https://timesofindia.indiatimes.com/education/news/who-is-irina-ghose-the-iit-bhu-graduate-and-former-microsoft-md-now-leading-anthropic-india/articleshow/128111240.cms,Reputable media,Medium,Not contacted,"Use India+APAC education/enterprise angle"
A,AI,OpenAI,"Raghav Gupta","Head of Education Initiatives, India and APAC",India/APAC,"Education-led AI adoption role aligns with cohort sponsorship and talent funnel positioning.","LinkedIn + education ecosystem intro",https://economictimes.indiatimes.com/tech/technology/openai-appoints-former-coursera-executive-raghav-gupta-as-education-vertical-head/articleshow/123502319.cms,Reputable media,Medium,Not contacted,"Lead with cohort outcomes and institutional access"
B,AI,OpenAI,"Grace Chua","Head of Communications, Singapore and SEA",SEA,"Can influence regional narrative partnerships and flagship ecosystem visibility.","LinkedIn + comms/brand partnership route",https://www.marketing-interactive.com/openai-nabs-former-google-lead-as-sg-and-sea-head-of-comms,Industry publication,Medium,Not contacted,"Offer flagship story package + media-ready impact metrics"
B,AI,Databricks,"Greg Taylor","Vice President of Partners, APJ",APJ,"Directly tied to APJ partner ecosystem and co-sell/commercial collaborations.","Partner ecosystem intro + LinkedIn",https://www.prnewswire.com/news-releases/bizmetric-awarded-2025-databricks-apj-innovation-partner-of-the-year-at-data--ai-summit-302482396.html,Press release quote,Medium,Not contacted,"Align ask to APJ partner expansion KPIs"
C,AI,Databricks,"Jeremy Cooper","Vice President of Marketing, APJ",APJ,"Marketing budget owner for regional brand and demand programs that can include sponsorships.","LinkedIn + APJ marketing network",https://www.marketing-interactive.com/databricks-names-former-aws-marketing-leader-jeremy-cooper-as-marketing-vp,Industry publication,Medium,Not contacted,"Pitch co-branded APJ thought-leadership package"
B,AI,NAVER Cloud,"Park Won-gi","Head of APAC Business Development",APAC,"Named APAC BD leader; strong fit for strategic market-entry and ecosystem partnerships.","LinkedIn + APAC cloud partner route",https://www.asiae.co.kr/en/article/2023010210321727420,Industry publication,Medium,Not contacted,"Prepare JP/KR expansion value proposition"
